artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
"Chris Brown, Lil Wayne, Busta Rhymes",Look At Me Now (feat. Lil' Wayne & Busta Rhymes),3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,audio_features,spotify:track:3hsmbFKT5Cujb5GQjqEU39,https://api.spotify.com/v1/tracks/3hsmbFKT5Cujb5GQjqEU39,https://api.spotify.com/v1/audio-analysis/3hsmbFKT5Cujb5GQjqEU39,222587,4
"Flo Rida, T-Pain",Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,audio_features,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4
2Pac,Ghetto Gospel,7jLbTp3qZzah9kMIdW8e5M,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,audio_features,spotify:track:7jLbTp3qZzah9kMIdW8e5M,https://api.spotify.com/v1/tracks/7jLbTp3qZzah9kMIdW8e5M,https://api.spotify.com/v1/audio-analysis/7jLbTp3qZzah9kMIdW8e5M,238053,4
"50 Cent, Olivia",Candy Shop,5D2mYZuzcgjpchVY1pmTPh,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,audio_features,spotify:track:5D2mYZuzcgjpchVY1pmTPh,https://api.spotify.com/v1/tracks/5D2mYZuzcgjpchVY1pmTPh,https://api.spotify.com/v1/audio-analysis/5D2mYZuzcgjpchVY1pmTPh,209107,5
50 Cent,Disco Inferno,3FaS5pwUOfrhr366NERG5X,0.917,0.667,2,-5.131,0,0.227,0.198,0.000211,0.259,0.692,96.955,audio_features,spotify:track:3FaS5pwUOfrhr366NERG5X,https://api.spotify.com/v1/tracks/3FaS5pwUOfrhr366NERG5X,https://api.spotify.com/v1/audio-analysis/3FaS5pwUOfrhr366NERG5X,216520,4
"Ying Yang Twins, Lil Jon & The East Side Boyz",Salt Shaker,4Kd0FzFpOgIGxlBl4HXuFn,0.884,0.697,11,-6.022,1,0.128,0.0509,0.0,0.094,0.322,101.965,audio_features,spotify:track:4Kd0FzFpOgIGxlBl4HXuFn,https://api.spotify.com/v1/tracks/4Kd0FzFpOgIGxlBl4HXuFn,https://api.spotify.com/v1/audio-analysis/4Kd0FzFpOgIGxlBl4HXuFn,252440,4
Big Sean,Moves,0Fv5N0cHBsl4bzCbollCAS,0.812,0.522,2,-5.287,1,0.257,0.0433,0.0,0.154,0.38,75.524,audio_features,spotify:track:0Fv5N0cHBsl4bzCbollCAS,https://api.spotify.com/v1/tracks/0Fv5N0cHBsl4bzCbollCAS,https://api.spotify.com/v1/audio-analysis/0Fv5N0cHBsl4bzCbollCAS,142907,4
MiMS,This Is Why I'm Hot,0AA6zq5ArZ1sSH7VIMi4NK,0.621,0.6,8,-6.349,1,0.576,0.277,0.0,0.495,0.485,80.021,audio_features,spotify:track:0AA6zq5ArZ1sSH7VIMi4NK,https://api.spotify.com/v1/tracks/0AA6zq5ArZ1sSH7VIMi4NK,https://api.spotify.com/v1/audio-analysis/0AA6zq5ArZ1sSH7VIMi4NK,253707,4
N.W.A.,Straight Outta Compton - Extended Mix / Edit,3eGBESLT08agei7veoLLlz,0.773,0.947,8,-5.824,1,0.249,0.117,0.0,0.44,0.464,102.146,audio_features,spotify:track:3eGBESLT08agei7veoLLlz,https://api.spotify.com/v1/tracks/3eGBESLT08agei7veoLLlz,https://api.spotify.com/v1/audio-analysis/3eGBESLT08agei7veoLLlz,266194,4
Nas,Nasty,68Vts2aNsYMdUB9b1vqUaY,0.556,0.897,6,-6.111,1,0.402,0.0375,0.0,0.173,0.739,103.933,audio_features,spotify:track:68Vts2aNsYMdUB9b1vqUaY,https://api.spotify.com/v1/tracks/68Vts2aNsYMdUB9b1vqUaY,https://api.spotify.com/v1/audio-analysis/68Vts2aNsYMdUB9b1vqUaY,184907,4
Nelly,Hot In Herre,5FLctoy4mpCxLJ1QPneTOV,0.957,0.737,2,-4.88,1,0.115,0.21,0.0,0.0616,0.934,107.088,audio_features,spotify:track:5FLctoy4mpCxLJ1QPneTOV,https://api.spotify.com/v1/tracks/5FLctoy4mpCxLJ1QPneTOV,https://api.spotify.com/v1/audio-analysis/5FLctoy4mpCxLJ1QPneTOV,228240,4
"Blackstreet, Dr. Dre, Queen Pen",No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,audio_features,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ,304600,4
2Pac,Ambitionz Az A Ridah,5g9lS8deSIxItFBmZRC4vN,0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,audio_features,spotify:track:5g9lS8deSIxItFBmZRC4vN,https://api.spotify.com/v1/tracks/5g9lS8deSIxItFBmZRC4vN,https://api.spotify.com/v1/audio-analysis/5g9lS8deSIxItFBmZRC4vN,278387,4
Drake,Started From the Bottom,3dgQqOiQ9fCKVhNOedd2lf,0.794,0.523,8,-7.829,1,0.161,0.0331,0.0,0.156,0.56,86.307,audio_features,spotify:track:3dgQqOiQ9fCKVhNOedd2lf,https://api.spotify.com/v1/tracks/3dgQqOiQ9fCKVhNOedd2lf,https://api.spotify.com/v1/audio-analysis/3dgQqOiQ9fCKVhNOedd2lf,174120,4
N.W.A.,Fuck Tha Police,5n8Aro6j1bEGIy7Tpo7FV7,0.859,0.75,8,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691,audio_features,spotify:track:5n8Aro6j1bEGIy7Tpo7FV7,https://api.spotify.com/v1/tracks/5n8Aro6j1bEGIy7Tpo7FV7,https://api.spotify.com/v1/audio-analysis/5n8Aro6j1bEGIy7Tpo7FV7,345717,4
"Dem Franchize Boyz, Peanut, Charlay","Lean Wit It, Rock Wit It",7cVmKBwzPsh4Fmb6SplfEm,0.886,0.62,5,-5.854,1,0.307,0.082,0.0,0.1,0.6,76.035,audio_features,spotify:track:7cVmKBwzPsh4Fmb6SplfEm,https://api.spotify.com/v1/tracks/7cVmKBwzPsh4Fmb6SplfEm,https://api.spotify.com/v1/audio-analysis/7cVmKBwzPsh4Fmb6SplfEm,229813,4
